Country,Wind_2010,Wind_2011,Wind_2012,Wind_2013,Wind_2014,Wind_2015
Afghanistan,0,0,0,0,0,0
Albania,0,0,0,0,0,0
Algeria,0,0,0,0.01,0.01,0.01
American Samoa,0,0,0,0,0,0
Angola,0,0,0,0,0,0
Antarctica,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0
Argentina,0.05,0.13,0.14,0.22,0.27,0.28
Armenia,0,0,0,0,0,0
Aruba,0.03,0.03,0.03,0.03,0.03,0.03
Australia,1.86,2.13,2.56,3.22,3.8,4.23
Austria,0.98,1.08,1.32,1.65,2.09,2.49
Azerbaijan,0,0,0,0,0,0
"Bahamas, The",0,0,0,0,0,0
Bahrain,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0
Barbados,0,0,0,0,0,0
Belarus,0,0,0,0,0,0
Belgium,0.91,1.07,1.37,1.78,1.94,2.18
Belize,0,0,0,0,0,0
Benin,0,0,0,0,0,0
Bermuda,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0
Botswana,0,0,0,0,0,0
Brazil,0.93,1.43,2.51,3.47,5.96,8.72
Brunei,0,0,0,0,0,0
Bulgaria,0.49,0.54,0.68,0.68,0.69,0.69
Burkina Faso,0,0,0,0,0,0
Burma (Myanmar),0,0,0,0,0,0
Burundi,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0
Canada,3.97,5.27,6.2,7.8,9.69,11.21
Cape Verde,0,0.03,0.03,0.03,0.03,0.03
Cayman Islands,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0
Chad,0,0,0,0,0,0
Chile,0.16,0.18,0.2,0.3,0.73,0.91
China,29.58,46.23,61.42,76.52,96,129
Colombia,0.02,0.02,0.02,0.02,0.02,0.02
Comoros,0,0,0,0,0,0
Congo (Brazzaville),0,0,0,0,0,0
Congo (Kinshasa),0,0,0,0,0,0
Cook Islands,0,0,0,0,0,0
Costa Rica,0.12,0.13,0.15,0.15,0.2,0.27
Cote dIvoire (IvoryCoast),0,0,0,0,0,0
Croatia,0.09,0.13,0.18,0.25,0.34,0.43
Cuba,0.01,0.01,0.01,0.01,0.01,0.01
Cyprus,0.08,0.13,0.15,0.15,0.15,0.16
Czech Republic,0.21,0.21,0.26,0.26,0.28,0.28
Denmark,3.8,3.95,4.16,4.82,4.89,5.08
Djibouti,0,0,0,0,0,0
Dominica,0.01,0.01,0.01,0.01,0.01,0.01
Dominican Republic,0,0.03,0.03,0.09,0.09,0.09
Ecuador,0,0,0,0.02,0.02,0.02
Egypt,0.55,0.55,0.55,0.55,0.62,0.81
El Salvador,0,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0
Estonia,0.11,0.18,0.27,0.25,0.28,0.3
Ethiopia,0,0.03,0.05,0.17,0.2,0.32
Falkland Islands (Islas Malvinas),0,0,0,0,0,0
Faroe Islands,0,0,0,0,0.02,0.02
Fiji,0.01,0.01,0.01,0.01,0.01,0.01
Finland,0.2,0.2,0.26,0.45,0.63,1.01
Former Czechoslovakia,NA,NA,NA,NA,NA,NA
Former Serbia and Montenegro,NA,NA,NA,NA,NA,NA
Former U.S.S.R.,NA,NA,NA,NA,NA,NA
Former Yugoslavia,NA,NA,NA,NA,NA,NA
France,5.91,6.68,7.52,8.2,9.07,10.22
French Guiana,0,0,0,0,0,0
French Polynesia,0,0,0,0,0,0
Gabon,0,0,0,0,0,0
"Gambia, The",0,0,0,0,0,0
Georgia,0,0,0,0,0,0
Germany,27.18,29.06,31.3,34.66,39.19,44.67
"Germany, East",NA,NA,NA,NA,NA,NA
"Germany, West",NA,NA,NA,NA,NA,NA
Ghana,0,0,0,0,0,0
Gibraltar,0,0,0,0,0,0
Greece,1.3,1.64,1.75,1.81,1.98,2.09
Greenland,0,0,0,0,0,0
Grenada,0,0,0,0,0,0
Guadeloupe,0.03,0.03,0.03,0.03,0.03,0.03
Guam,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0.05
Guinea,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0
Guyana,0.01,0.01,0.01,0.01,0.01,0.01
Haiti,0,0,0,0,0,0
Hawaiian Trade Zone,NA,NA,NA,NA,NA,NA
Honduras,0,0.07,0.1,0.1,0.15,0.18
"Hong Kong SAR, China",0,0,0,0,0,0
Hungary,0.29,0.33,0.33,0.33,0.33,0.33
Iceland,0,0,0,0,0,0
India,13.07,16.08,18.42,20.15,22.47,24.76
Indonesia,0,0,0,0,0,0
Iran,0.1,0.1,0.1,0.1,0.12,0.12
Iraq,0,0,0,0,0,0
Ireland,1.37,1.63,1.76,1.94,2.21,2.44
Israel,0.01,0.01,0.01,0.01,0.01,0.01
Italy,5.79,6.92,8.1,8.54,8.68,9.14
Jamaica,0.03,0.05,0.05,0.05,0.05,0.05
Japan,2.29,2.42,2.56,2.65,2.75,2.81
Jordan,0,0,0,0,0,0.12
Kazakhstan,0,0,0,0.01,0.05,0.06
Kenya,0.01,0.01,0.01,0.01,0.01,0.03
Kiribati,0,0,0,0,0,0
"Korea, Dem. People’s Rep.",0,0,0,0,0,0
South Korea,0.38,0.43,0.46,0.58,0.61,0.74
Kosovo,0,0,0,0,0,0
Kuwait,0,0,0,0,0,0
Kyrgyz Republic,0,0,0,0,0,0
Laos,0,0,0,0,0,0
Latvia,0.03,0.04,0.06,0.07,0.07,0.07
Lebanon,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0
Liberia,0,0,0,0,0,0
Libya,0,0,0,0,0,0
Lithuania,0.15,0.18,0.28,0.28,0.28,0.44
Luxembourg,0.04,0.05,0.06,0.06,0.06,0.06
Macau,0,0,0,0,0,0
Macedonia,0,0,0,0,0,0
Madagascar,0,0,0,0,0,0
Malawi,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0
Maldives,0,0,0,0,0,0
Mali,0,0,0,0,0,0
Malta,0,0,0,0,0,0
Martinique,0,0,0,0,0,0
Mauritania,0,0,0.01,0.01,0.01,0.03
Mauritius,0,0,0,0,0,0
Mexico,0.57,0.6,1.82,2.12,2.57,3.27
Micronesia,NA,NA,NA,NA,NA,NA
Moldova,0,0,0,0,0,0
Mongolia,0,0,0,0.05,0.05,0.05
Montenegro,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0
Morocco,0.29,0.29,0.29,0.49,0.79,0.8
Mozambique,0,0,0,0,0,0
Namibia,0,0,0,0,0,0
Nauru,0,0,0,0,0,0
Nepal,0,0,0,0,0,0
Netherlands,2.24,2.32,2.43,2.71,2.87,3.39
Netherlands Antilles,0.02,0.02,0.02,0.02,0.02,0.02
New Caledonia,0.04,0.04,0.04,0.04,0.04,0.04
New Zealand,0.52,0.62,0.62,0.62,0.68,0.68
Nicaragua,0.06,0.06,0.15,0.15,0.19,0.19
Niger,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0
Niue,0,0,0,0,0,0
Norway,0.43,0.51,0.71,0.82,0.86,0.87
Oman,0,0,0,0,0,0
Pakistan,0.01,0.01,0.06,0.11,0.26,0.26
Palestine,0,0,0,0,0,0
Panama,0,0,0,0.02,0.04,0.27
Papua New Guinea,0,0,0,0,0,0
Paraguay,0,0,0,0,0,0
Peru,0,0,0,0,0.15,0.15
Philippines,0.03,0.03,0.03,0.03,0.22,0.22
Poland,1.11,1.8,2.56,3.43,3.84,4.89
Portugal,3.8,4.26,4.41,4.61,4.86,4.94
Puerto Rico,0,0,0.13,0.13,0.13,0.13
Qatar,0,0,0,0,0,0
Reunion,0.01,0.01,0.02,0.02,0.02,0.02
Romania,0.04,0.99,1.82,2.77,2.95,2.98
Russian Federation,0.02,0.02,0.02,0.02,0.02,0.02
Rwanda,0,0,0,0,0,0
Saint Helena,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0
Saint Pierre and Miquelon,0,0,0,0,0,0
Saint Vincent/Grenadines,0,0,0,0,0,0
Samoa,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0
Senegal,0,0,0,0,0,0
Serbia,0,0,0,0,0,0
Seychelles,0,0,0,0.01,0.01,0.01
Sierra Leone,0,0,0,0,0,0
Singapore,0,0,0,0,0,0
Slovakia,0,0,0,0.01,0,0
Slovenia,0,0,0,0,0,0.01
Solomon Islands,0,0,0,0,0,0
Somalia,0,0,0,0,0,0
South Africa,0.01,0.01,0.01,0.1,0.57,1.05
Spain,20.69,21.53,22.79,22.96,22.93,22.94
Sri Lanka,0.01,0.03,0.08,0.08,0.13,0.13
Sudan,0,0,0,0,0,0
Suriname,0,0,0,0,0,0
Swaziland,0,0,0,0,0,0
Sweden,2.02,2.77,3.61,4.19,5.1,5.84
Switzerland,0.04,0.05,0.05,0.06,0.06,0.06
Syria,0,0,0,0,0,0
Taiwan,0.48,0.52,0.57,0.61,0.64,0.65
Tajikistan,0,0,0,0,0,0
Tanzania,0,0,0,0,0,0
Thailand,0,0.01,0.11,0.19,0.22,0.22
Timor-Leste (East Timor),0,0,0,0,0,0
Togo,0,0,0,0,0,0
Tonga,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0,0
Tunisia,0.02,0.05,0.1,0.2,0.23,0.25
Turkey,1.32,1.73,2.26,2.76,3.63,4.5
Turkmenistan,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0
Tuvalu,NA,NA,NA,NA,NA,NA
U.S. Pacific Islands,0,0,0,0,0,0
U.S. Territories,NA,NA,NA,NA,NA,NA
Uganda,0,0,0,0,0,0
Ukraine,0.08,0.15,0.28,0.37,0.41,0.51
United Arab Emirates,0,0,0,0,0,0
United Kingdom,5.4,6.47,8.9,11.21,13.04,14.29
United States,39.13,45.68,59.07,59.97,64.23,72.57
Uruguay,0.03,0.04,0.06,0.06,0.53,0.85
Uzbekistan,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0
Venezuela,0,0,0.03,0.03,0.03,0.03
Vietnam,0.03,0.03,0.03,0.05,0.05,0.14
"Virgin Islands,  U.S.",0,0,0,0,0,0
"Virgin Islands, British",0,0,0,0,0,0
Wake Island,0,0,0,0,0,0
Western Sahara,0,0,0,0,0,0
"Yemen, Rep.",0,0,0,0,0,0
Zambia,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,0
