Country,Onshore wind,Offshore wind,Onshore Wind kW,Offshore Wind kW, Reasonable Wind Capacity
Armenia,1275,0,0.001275,0,0.001275
Austria,38339,0,0.038339,0,0.038339
Azerbaijan,4370,0,0.00437,0,0.00437
Belarus,82536,0,0.082536,0,0.082536
Bolivia,724213,0,0.724213,0,0.724213
Botswana,24949,0,0.024949,0,0.024949
Croatia,2397,0,0.002397,0,0.002397
Czech Republic,30994,0,0.030994,0,0.030994
Ethiopia,487510,0,0.48751,0,0.48751
Hungary,5963,0,0.005963,0,0.005963
Kazakhstan,2898565,0,2.898565,0,2.898565
Kosovo,1288,0,0.001288,0,0.001288
Kyrgyz Republic,8575,0,0.008575,0,0.008575
Luxembourg,273,0,0.000273,0,0.000273
"Macedonia, Former Yugoslav Republic of",1094,0,0.001094,0,0.001094
Malta,100,0,0.0001,0,0.0001
"Moldova, Republic of",21226,0,0.021226,0,0.021226
Mongolia,67074,0,0.067074,0,0.067074
Nepal,6342,0,0.006342,0,0.006342
Nigeria,39212,0,0.039212,0,0.039212
Paraguay,17201,0,0.017201,0,0.017201
Peru,556258,0,0.556258,0,0.556258
Saudi Arabia,990705,0,0.990705,0,0.990705
Serbia,3785,0,0.003785,0,0.003785
Slovak Republic,26525,0,0.026525,0,0.026525
Switzerland,12870,0,0.01287,0,0.01287
Tajikistan,6124,0,0.006124,0,0.006124
Turkmenistan,55460,0,0.05546,0,0.05546
Uzbekistan,34083,0,0.034083,0,0.034083
Zambia,100550,0,0.10055,0,0.10055
Zimbabwe,86615,0,0.086615,0,0.086615
Albania,1231,20,0.001231,0.00002,0.001251
Algeria,314972,80,0.314972,0.00008,0.315052
Turkey,97459,160,0.097459,0.00016,0.097619
Namibia,35554,200,0.035554,0.0002,0.035754
Costa Rica,6388,240,0.006388,0.00024,0.006628
Gibraltar,100,271,0.0001,0.00027,0.00037
Bosnia and Herzegovina,2213,451,0.002213,0.00045,0.002663
Cameroon,20057,580,0.020057,0.00058,0.020637
Jordan,21961,586,0.021961,0.00059,0.022551
Egypt,529585,700,0.529585,0.0007,0.530285
Guatemala,41905,780,0.041905,0.00078,0.042685
"Congo, Democratic Republic of",267664,834,0.267664,0.00083,0.268494
Haiti,1164,860,0.001164,0.00086,0.002024
Netherlands Antilles,100,1000,0.0001,0.001,0.0011
Slovenia,12138,1037,0.012138,0.00104,0.013178
Angola,53865,1160,0.053865,0.00116,0.055025
Togo,2468,1263,0.002468,0.00126,0.003728
Iraq,168583,1308,0.168583,0.00131,0.169893
Libya,647665,1500,0.647665,0.0015,0.649165
Ecuador,115494,1560,0.115494,0.00156,0.117054
Panama,34667,1860,0.034667,0.00186,0.036527
Greece,42340,1980,0.04234,0.00198,0.04432
Benin,5020,2728,0.00502,0.00273,0.00775
Oman,144464,2920,0.144464,0.00292,0.147384
Bahrain,100,3630,0.0001,0.00363,0.00373
Brunei Darussalam,248,3630,0.000248,0.00363,0.003878
Congo,14869,3810,0.014869,0.00381,0.018679
Kenya,338993,4020,0.338993,0.00402,0.343013
Italy,98411,4300,0.098411,0.0043,0.102711
Singapore,100,4352,0.0001,0.00435,0.00445
Syrian Arab Republic,70339,4352,0.070339,0.00435,0.074689
"Tanzania, United Republic of",456411,4920,0.456411,0.00492,0.461331
Lebanon,440,5073,0.00044,0.00507,0.00551
Israel,2682,6155,0.002682,0.00616,0.008842
Montenegro,593,6606,0.000593,0.00661,0.007203
El Salvador,5670,6922,0.00567,0.00692,0.01259
Georgia,10291,6990,0.010291,0.00699,0.017281
Bulgaria,19082,7680,0.019082,0.00768,0.026762
Cambodia,7850,9988,0.00785,0.00999,0.01784
"Korea, Democratic People's Republic of",44656,10440,0.044656,0.01044,0.055096
Kuwait,1282,11251,0.001282,0.01125,0.012532
Cote d'Ivoire,13885,11612,0.013885,0.01161,0.025495
Senegal,8461,11972,0.008461,0.01197,0.020431
Portugal,34989,11980,0.034989,0.01198,0.046969
Ghana,10324,12153,0.010324,0.01215,0.022474
Qatar,416,12694,0.000416,0.01269,0.013106
Bangladesh,5944,13077,0.005944,0.01308,0.019024
Cyprus,473,14610,0.000473,0.01461,0.015083
Belgium,4550,15660,0.00455,0.01566,0.02021
Lithuania,36666,16060,0.036666,0.01606,0.052726
"Hong Kong SAR, China",100,16527,0.0001,0.01653,0.01663
Eritrea,5213,17560,0.005213,0.01756,0.022773
Estonia,31407,19060,0.031407,0.01906,0.050467
Sudan,107399,19233,0.107399,0.01923,0.126629
Iceland,41811,19420,0.041811,0.01942,0.061231
Gabon,11267,19954,0.011267,0.01995,0.031217
Dominican Republic,1729,20560,0.001729,0.02056,0.022289
South Africa,620874,20940,0.620874,0.02094,0.641814
Pakistan,57406,23584,0.057406,0.02358,0.080986
United Arab Emirates,19313,29717,0.019313,0.02972,0.049033
Tunisia,71032,29800,0.071032,0.0298,0.100832
Spain,153185,31280,0.153185,0.03128,0.184465
"Yemen, Rep.",892,31460,0.000892,0.03146,0.032352
Morocco,194256,33320,0.194256,0.03332,0.227576
Finland,149695,35680,0.149695,0.03568,0.185375
Ireland,30855,39380,0.030855,0.03938,0.070235
Colombia,451440,40380,0.45144,0.04038,0.49182
Cuba,39888,43320,0.039888,0.04332,0.083208
Myanmar,28769,43516,0.028769,0.04352,0.072289
Latvia,42876,43540,0.042876,0.04354,0.086416
Trinidad and Tobago,216,43660,0.000216,0.04366,0.043876
Japan,13047,44280,0.013047,0.04428,0.057327
Poland,150803,45920,0.150803,0.04592,0.196723
Jamaica,476,46280,0.000476,0.04628,0.046756
Chile,224881,47660,0.224881,0.04766,0.272541
Romania,126008,50160,0.126008,0.05016,0.176168
"Iran, Islamic Republic of",135593,55014,0.135593,0.05501,0.190603
Philippines,12594,59700,0.012594,0.0597,0.072294
Sri Lanka,29104,60300,0.029104,0.0603,0.089404
"Korea, Republic of",19071,70660,0.019071,0.07066,0.089731
Thailand,22108,72578,0.022108,0.07258,0.094688
India,908002,73580,0.908002,0.07358,0.981582
Malaysia,14192,105407,0.014192,0.10541,0.119602
Chinese Taipei,7467,113800,0.007467,0.1138,0.121267
Germany,124953,124340,0.124953,0.12434,0.249293
Mozambique,101165,125540,0.101165,0.12554,0.226705
New Zealand,121801,152640,0.121801,0.15264,0.274441
Sweden,166972,159960,0.166972,0.15996,0.326932
Norway,195019,168720,0.195019,0.16872,0.363739
France,158342,181140,0.158342,0.18114,0.339482
Venezuela,277579,198080,0.277579,0.19808,0.475659
Honduras,48299,212820,0.048299,0.21282,0.261119
Nicaragua,65048,225340,0.065048,0.22534,0.290388
Denmark,11378,227980,0.011378,0.22798,0.239358
Ukraine,273674,230660,0.273674,0.23066,0.504334
Uruguay,23088,241160,0.023088,0.24116,0.264248
Netherlands,9012,261040,0.009012,0.26104,0.270052
Canada,6884928,368700,6.884928,0.3687,7.253628
Vietnam,2168,476460,0.002168,0.47646,0.478628
Mexico,641302,570740,0.641302,0.57074,1.212042
United States,3496029,628640,3.496029,0.62864,4.124669
United Kingdom,47958,631600,0.047958,0.6316,0.679558
Indonesia,196267,783300,0.196267,0.7833,0.979567
Argentina,789918,808160,0.789918,0.80816,1.598078
China,2019817,1072700,2.019817,1.0727,3.092517
Russian Federation,14341163,1136280,14.341163,1.13628,15.477443
Brazil,1272049,1619920,1.272049,1.61992,2.891969
Australia,4493321,2071360,4.493321,2.07136,6.564681
